id,role,name,team,quotation
4502,D,Gallo,Lecce,8
4433,D,Zortea,Bologna,8
4374,D,Walukiewicz,Sassuolo,5
7249,A,Buksa,Udinese,7
6675,A,Dovbyk,Roma,13
6653,A,Bravo,Udinese,4
6643,A,Dallinga,Bologna,6
6243,A,Borrelli,Cagliari,13
5672,A,Dia,Lazio,4
5506,A,Ekuban,Genoa,10
313,A,Morata,Como,3
7145,C,Piccinini G.,Pisa,4
6634,C,Tete Morente,Lecce,3
6593,C,Akinsanmiro,Pisa,6
6424,C,Prati,Torino,6
6410,C,Kaba,Lecce,3
6112,C,Iling Junior,Pisa,5
6106,C,Carboni V.,Genoa,4
5850,C,Lovric,Verona,3
5688,C,Harroui,Verona,5
5685,C,Koopmeiners,Juventus,4
5319,C,Sohm,Bologna,4
5131,C,Gilmour,Napoli,6
5119,C,Samardzic,Atalanta,10
4459,C,Rovella,Lazio,4
795,C,El Shaarawy,Roma,7
7255,D,Britschgi,Parma,6
7143,D,Angori,Pisa,9
7139,D,Canestrelli,Pisa,5
7125,D,Idrissi R.,Cagliari,9
7014,D,Smolcic I.,Como,4
6916,D,Ahanor,Atalanta,4
6660,D,Marcandalli,Genoa,7
6639,D,Frese,Verona,4
6631,D,Ghilardi,Roma,7
6426,D,Pedersen,Torino,4
6202,D,Beukema,Napoli,7
6042,D,Lucumì,Bologna,6
6013,D,Barbieri,Cremonese,9
5603,D,Pongracic,Fiorentina,5
5527,D,Zanoli,Udinese,10
4994,D,Vojvoda,Como,12
4461,D,Zappa,Cagliari,7
4385,D,Lazaro,Torino,5
2724,D,Buongiorno,Napoli,9
2273,D,Caracciolo A.,Pisa,6
6662,P,Corvi,Parma,11
761,P,Audero,Cremonese,14
7344,A,Stojilkovic,Pisa,4
7128,A,Kuhn,Como,6
6630,A,Mosquera,Verona,7
6215,A,Lucca,Napoli,5
6145,A,Ngonge,Torino,9
5918,A,Sulemana K.,Atalanta,11
5336,A,Nzola,Sassuolo,10
7341,C,Amorim,Genoa,4
7254,C,Lorran,Pisa,6
7209,C,Sorensen O.,Parma,7
7203,C,Jashari,Milan,4
7149,C,Marin M.,Pisa,4
6629,C,Dele-Bashiru,Lazio,3
6218,C,Oristanio,Parma,4
6170,C,Gineitis,Torino,4
6054,C,Moro N.,Bologna,8
5295,C,Musah,Atalanta,4
4856,C,Chukwueze,Milan,4
449,C,Vazquez,Cremonese,13
7329,D,Obrador,Torino,6
7175,D,Joao Mario,Bologna,3
7068,D,Vitik,Bologna,4
5739,D,De Winter,Milan,8
5532,D,Bradaric,Verona,4
770,D,Pezzella Giu.,Cremonese,3
6462,P,Okoye,Udinese,11
7008,A,Gimenez,Milan,12
7001,A,N'Dri,Lecce,9
6667,A,Benedyczak,Parma,8
6556,A,Noslin,Lazio,10
6409,A,Beltran L.,Fiorentina,6
6207,A,Almqvist,Parma,3
6205,A,Mulattieri,Sassuolo,5
5471,A,Djuric,Cremonese,4
5297,A,Luvumbo,Cagliari,3
2475,A,Sanchez,Udinese,6
647,A,Dzeko,Fiorentina,3
479,A,Sanabria,Cremonese,6
6917,C,Masini,Genoa,5
6640,C,Felici,Cagliari,10
6274,C,Diouf,Inter,3
6024,C,Sulemana I.,Cagliari,6
6005,C,Ilkhan,Torino,5
5998,C,Zerbin,Cremonese,6
5540,C,Niasse,Verona,4
5290,C,Estevez,Parma,4
4970,C,Messias,Genoa,9
4423,C,Hernani,Parma,2
4284,C,Sergi Roberto,Como,3
2848,C,Frattesi,Inter,4
2670,C,Bailey,Roma,8
7268,D,Rodriguez Ju.,Cagliari,3
7260,D,Ziolkowski,Roma,3
7211,D,Athekame,Milan,6
7131,D,Floriani Mussolini,Cremonese,4
7011,D,Slotsager,Verona,4
6986,D,Rensch,Roma,5
6531,D,Jimenez A.,Milan,5
6039,D,Cabal,Juventus,9
5840,D,Olivera,Napoli,3
5578,D,Kossounou,Atalanta,7
5427,D,Gutierrez,Napoli,6
5010,D,Ismajli,Torino,5
4378,D,Ranieri L.,Fiorentina,5
2728,D,Pellegrini Lu.,Lazio,5
2653,D,Lykogiannis,Bologna,2
2006,D,Lirola,Verona,4
791,D,Sabelli,Genoa,1
612,D,Bianchetti,Cremonese,5
294,D,Rugani,Fiorentina,2
7332,P,Bijlow,Genoa,9
6641,P,Suzuki,Parma,8
5320,P,Paleari,Torino,9
133,P,Skorupski,Bologna,10
7183,A,Aboukhlal,Torino,3
6822,A,Ekhator,Genoa,9
6555,A,Moumbagna,Cremonese,2
6229,A,Tourè E.,Atalanta,7
7246,C,Sala A.,Lecce,1
6889,C,Anjorin,Torino,4
6633,C,Pierret,Lecce,1
5610,C,Vranckx,Sassuolo,2
4930,C,Ghion,Sassuolo,4
4890,C,Tameze,Torino,4
7325,D,Bozhinov,Pisa,2
7274,D,Zè Pedro,Cagliari,4
7069,D,Fortini,Fiorentina,5
6977,D,Otoa,Genoa,1
6957,D,Valentini N.,Verona,2
6802,D,Savona,Juventus,3
5273,D,Estupinan,Milan,3
5168,D,Tsimikas,Roma,4
4772,D,Angelino,Roma,7
4263,D,Kabasele,Udinese,11
513,D,Acerbi,Inter,5
388,D,Albiol,Pisa,2
322,D,De Vrij,Inter,3
4236,P,Muric,Sassuolo,10
7161,A,Bayo V.,Udinese,3
6644,A,Rocha Livramento,Verona,3
6519,A,Camarda,Lecce,4
6159,A,Sarr A.,Verona,5
5496,A,Johnsen,Cremonese,7
1842,A,Pierini,Sassuolo,2
7276,C,Cremaschi,Parma,1
7157,C,Iannoni,Sassuolo,4
7036,C,Bakola,Sassuolo,3
6804,C,Richardson,Fiorentina,2
6528,C,Sarmiento J.,Cremonese,3
6481,C,Payero,Cremonese,7
6246,C,Lipani,Sassuolo,5
6010,C,Fazzini,Fiorentina,2
5007,C,Ilic,Torino,2
2117,C,Kastanos,Verona,1
27,C,Grassi,Cremonese,5
7356,D,Mlacic,Udinese,3
7335,D,Zatterstrom,Genoa,3
7235,D,Troilo,Parma,1
7202,D,Ndiaye,Parma,1
7182,D,Ndaba,Lecce,2
6896,D,Van Der Brempt,Como,2
6894,D,Unai Nunez,Verona,4
6550,D,Garcia U.,Sassuolo,4
6444,D,Bonfanti,Pisa,2
6211,D,Zemura,Udinese,3
6055,D,Thiaw,Milan,4
6047,D,Ehizibue,Udinese,3
5831,D,Gatti,Juventus,5
5435,D,Moreno Alb.,Como,9
5156,D,Nkounkou,Torino,1
4904,D,Marì,Fiorentina,2
2279,D,Romagna,Sassuolo,1
2263,D,Lazzari,Lazio,4
1891,D,Ceccherini,Cremonese,2
697,D,Cuadrado,Pisa,7
487,D,De Silvestri,Bologna,1
49,D,Masina,Torino,2
574,P,Scuffet,Pisa,3
7213,A,Frigan,Parma,1
7153,A,Lind,Pisa,4
6459,A,Karlsson,Bologna,3
7357,C,Lahdo,Como,2
7010,C,Al-Musrati,Verona,4
6225,C,El Azzouzi,Bologna,3
6222,C,Rafia,Lecce,1
6191,C,Belahyane,Lazio,2
5872,C,Helgason,Lecce,2
7326,D,Helland,Bologna,3
7154,D,Odenthal,Sassuolo,1
