id,role,name,team,quotation
1891,D,Ceccherini,Cremonese,2
7222,D,Cham,Verona,2
6663,D,Circati,Parma,9
7140,D,Coppola F.,Pisa,2
6665,D,Coulibaly W.,Sassuolo,1
487,D,De Silvestri,Bologna,2
322,D,De Vrij,Inter,4
6826,D,Dembelè A.,Torino,1
7196,D,Denoon,Pisa,1
5406,D,Di Pardo,Cagliari,2
4137,D,Diego Carlos,Como,7
787,D,Djimsiti,Atalanta,6
6230,D,Dossena,Cagliari,1
5994,D,Ebosse,Verona,2
6047,D,Ehizibue,Udinese,3
4982,D,Erlic,Bologna,3
7142,D,Esteves T.,Pisa,1
6870,D,Faye,Cremonese,2
7130,D,Folino,Cremonese,7
7069,D,Fortini,Fiorentina,6
6639,D,Frese,Verona,6
4502,D,Gallo,Lecce,8
6632,D,Gaspar K.,Lecce,4
6631,D,Ghilardi,Roma,4
6533,D,Giannetti L.,Udinese,3
5899,D,Gigot,Lazio,1
5324,D,Godfrey,Atalanta,1
6537,D,Goglichidze,Udinese,2
418,D,Goldaniga,Como,1
5427,D,Gutierrez,Napoli,3
6821,D,Hainaut,Parma,2
7212,D,Heggem,Bologna,8
7326,D,Helland,Bologna,3
4807,D,Hermoso,Roma,10
140,D,Hysaj,Lazio,1
7125,D,Idrissi R.,Cagliari,8
6672,D,Idzes,Sassuolo,8
6551,D,Ilic M.,Bologna,1
5010,D,Ismajli,Torino,6
6944,D,Jack,Como,2
6883,D,Jean,Lecce,1
6531,D,Jimenez A.,Milan,5
7175,D,Joao Mario,Juventus,2
256,D,Juan Jesus,Napoli,3
4263,D,Kabasele,Udinese,12
5555,D,Kamara H.,Udinese,5
6893,D,Kempf,Como,16
2640,D,Kolasinac,Atalanta,4
7238,D,Kouadio,Fiorentina,1
7136,D,Kouassi,Lecce,1
4495,D,Kumbulla,Roma,2
6351,D,Lamptey,Fiorentina,1
4385,D,Lazaro,Torino,6
2263,D,Lazzari,Lazio,4
6887,D,Leoni,Parma,7
2006,D,Lirola,Verona,4
6965,D,Lovik,Parma,2
393,D,Luperto,Cagliari,9
2653,D,Lykogiannis,Bologna,2
6660,D,Marcandalli,Genoa,7
6809,D,Marianucci,Napoli,2
2593,D,Martin,Genoa,14
2188,D,Marusic,Lazio,7
4904,D,Marì,Fiorentina,2
49,D,Masina,Torino,2
6411,D,Mateus Lusuardi,Pisa,2
5481,D,Mazzocchi,Napoli,2
7170,D,Mbambi,Pisa,1
6189,D,Missori,Sassuolo,2
5435,D,Moreno Alb.,Como,10
7155,D,Muharemovic,Sassuolo,8
7182,D,Ndaba,Lecce,3
7202,D,Ndiaye,Parma,1
7018,D,Nelsson,Verona,4
5156,D,Nkounkou,Torino,2
6814,D,Norton-Cuffy,Genoa,8
5701,D,Obert,Cagliari,5
7329,D,Obrador,Torino,6
7154,D,Odenthal,Sassuolo,1
7271,D,Odogu,Milan,1
5750,D,Ostigard,Genoa,15
6977,D,Otoa,Genoa,2
6992,D,Oyegoke,Verona,1
6874,D,Palacios T.,Inter,1
6925,D,Palma,Udinese,2
327,D,Patric,Lazio,1
4177,D,Pavard,Inter,8
6431,D,Paz Y.,Sassuolo,1
6426,D,Pedersen,Torino,4
2728,D,Pellegrini Lu.,Lazio,5
7164,D,Perez M.,Lecce,1
770,D,Pezzella Giu.,Cremonese,4
7156,D,Pieragnolo,Sassuolo,1
5603,D,Pongracic,Fiorentina,4
6066,D,Posch,Como,9
7012,D,Provstgaard,Lazio,3
5891,D,Quagliata,Cremonese,1
5860,D,Ravanelli,Cremonese,2
6986,D,Rensch,Roma,5
7268,D,Rodriguez Ju.,Cagliari,3
2279,D,Romagna,Sassuolo,1
6803,D,Rouhi,Juventus,1
294,D,Rugani,Juventus,2
6900,D,Rui Modesto,Udinese,1
7141,D,Rus,Pisa,2
791,D,Sabelli,Genoa,2
7020,D,Salah-Eddine,Roma,4
6802,D,Savona,Juventus,3
6041,D,Schuurs,Torino,1
2847,D,Sernicola,Cremonese,1
7240,D,Siebert,Lecce,3
7011,D,Slotsager,Verona,4
7014,D,Smolcic I.,Como,4
6480,D,Tchatchoua,Verona,8
7336,D,Tchoca,Torino,2
5812,D,Terracciano F.,Cremonese,11
6055,D,Thiaw,Milan,4
6989,D,Tiago Gabriel,Lecce,9
7235,D,Troilo,Parma,2
5168,D,Tsimikas,Roma,4
6894,D,Unai Nunez,Verona,4
5307,D,Valenti,Parma,6
6957,D,Valentini N.,Verona,3
6896,D,Van Der Brempt,Como,2
6990,D,Veiga D.,Lecce,5
6636,D,Veroli,Cagliari,1
5718,D,Viti,Fiorentina,2
6245,D,Vogliacco,Genoa,3
4374,D,Walukiewicz,Sassuolo,6
6464,D,Wieteska,Cagliari,1
5527,D,Zanoli,Udinese,11
4461,D,Zappa,Cagliari,7
7335,D,Zatterstrom,Genoa,4
6211,D,Zemura,Udinese,3
7260,D,Ziolkowski,Roma,4
7274,D,Zè Pedro,Cagliari,2
761,P,Audero,Cremonese,15
7332,P,Bijlow,Genoa,10
7042,P,Calligaris,Inter,1
7261,P,Cavlina,Como,1
6403,P,Christensen O.,Fiorentina,1
4929,P,Ciocci,Cagliari,1
6662,P,Corvi,Parma,11
216,P,Donnarumma An.,Torino,1
7285,P,Ferrante,Napoli,1
2401,P,Fruchtl,Lecce,1
6417,P,Furlanetto,Lazio,1
5135,P,Guaita,Parma,3
7179,P,Israel,Torino,2
158,P,Lezzerini,Fiorentina,1
6184,P,Martinelli T.,Fiorentina,1
4957,P,Montipò,Verona,9
6505,P,Nava,Cremonese,1
2271,P,Nicolas,Pisa,1
7185,P,Nunziante,Udinese,1
6462,P,Okoye,Udinese,11
543,P,Padelli,Udinese,4
5320,P,Paleari,Torino,8
511,P,Perilli,Verona,3
7172,P,Pessina Mas.,Bologna,1
1930,P,Pinsoglio,Juventus,1
6210,P,Popa,Torino,1
3,P,Radunovic,Cagliari,1
2722,P,Ravaglia F.,Bologna,10
5338,P,Rinaldi,Parma,3
2297,P,Rossi F.,Atalanta,1
4518,P,Russo A.,Sassuolo,1
6523,P,Samooja,Lecce,1
2127,P,Satalino,Sassuolo,1
6842,P,Sava,Udinese,1
574,P,Scuffet,Pisa,2
2861,P,Semper,Pisa,9
6650,P,Sherri,Cagliari,1
6991,P,Siegrist,Genoa,1
2211,P,Silvestri,Cremonese,1
219,P,Sommariva,Genoa,1
7236,P,Toniolo,Verona,1
7301,P,Tornqvist,Como,1
6813,P,Torriani,Milan,1
4867,P,Turati,Sassuolo,1
6125,P,Vasquez D.,Roma,1
2809,P,Vigorito,Como,1
7169,P,Zelezny,Roma,1
