id,role,name,team,quotation
5516,C,Bianco,Fiorentina,1
7170,D,Mbambi,Pisa,1
7164,D,Perez M.,Lecce,1
7142,D,Esteves T.,Pisa,1
6826,D,Dembelè A.,Torino,1
6551,D,Ilic M.,Bologna,1
6464,D,Wieteska,Cagliari,1
5891,D,Quagliata,Cremonese,1
7317,A,Trepy,Cagliari,1
7309,A,Isaac,Verona,1
7277,A,Arena A.,Roma,1
7272,A,Gueye,Udinese,2
7264,A,Ambrosino,Napoli,2
7262,A,Balentien,Milan,1
7171,A,Buffon L.,Pisa,1
7159,A,Skjellerup,Sassuolo,1
7158,A,Moro L.,Sassuolo,1
6657,A,Gabrielloni,Como,1
2762,A,Kouamè,Fiorentina,1
7322,C,Ngom,Lecce,1
7248,C,Gorter,Lecce,2
7151,C,Arena,Pisa,1
6678,C,Liberali,Milan,1
6677,C,Adzic,Juventus,3
6656,C,Braunoder,Como,1
6618,C,Cissè A.,Verona,1
6506,C,Fini,Genoa,2
2553,C,Alli,Como,1
7312,D,Arizala,Udinese,1
7238,D,Kouadio,Fiorentina,1
6885,D,Abdulhamid,Roma,1
6874,D,Palacios T.,Inter,1
6636,D,Veroli,Cagliari,1
5324,D,Godfrey,Atalanta,1
2847,D,Sernicola,Cremonese,1
7301,P,Tornqvist,Como,1
7285,P,Ferrante,Napoli,1
7261,P,Cavlina,Como,1
7236,P,Toniolo,Verona,1
7185,P,Nunziante,Udinese,1
7179,P,Israel,Torino,2
7172,P,Pessina Mas.,Bologna,1
7169,P,Zelezny,Roma,1
7042,P,Calligaris,Inter,1
6991,P,Siegrist,Genoa,1
6842,P,Sava,Udinese,1
6813,P,Torriani,Milan,1
6650,P,Sherri,Cagliari,1
6523,P,Samooja,Lecce,1
6505,P,Nava,Cremonese,1
6417,P,Furlanetto,Lazio,1
6403,P,Christensen O.,Fiorentina,1
6210,P,Popa,Torino,1
6184,P,Martinelli T.,Fiorentina,1
6125,P,Vasquez D.,Roma,1
5338,P,Rinaldi,Parma,3
5135,P,Guaita,Parma,3
4929,P,Ciocci,Cagliari,1
4867,P,Turati,Sassuolo,1
4518,P,Russo A.,Sassuolo,1
2809,P,Vigorito,Como,1
2401,P,Fruchtl,Lecce,1
2297,P,Rossi F.,Atalanta,1
2271,P,Nicolas,Pisa,1
2211,P,Silvestri,Cremonese,1
2127,P,Satalino,Sassuolo,1
1930,P,Pinsoglio,Juventus,1
543,P,Padelli,Udinese,4
219,P,Sommariva,Genoa,1
216,P,Donnarumma An.,Torino,1
158,P,Lezzerini,Fiorentina,1
3,P,Radunovic,Cagliari,1
