Voti Fantacalcio 23ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2814;P;Provedel;6.5;0;2;0;0;0;0;1;0;0
2188;D;Marusic;6;0;0;0;0;0;0;0;0;0
2728;D;Pellegrini Lu.;6.5;0;0;0;0;0;0;1;0;0
5620;D;Tavares N.;6.5;0;0;0;0;0;0;0;0;0
5833;D;Gila;6;0;0;0;0;0;0;0;0;0
7012;D;Provstgaard;6.5;0;0;0;0;0;0;0;0;0
333;C;Cataldi;7;0;0;0;0;1;0;0;0;0
4896;C;Maldini;5.5;0;0;0;0;0;0;0;0;0
5674;C;Basic;6;0;0;0;0;0;0;0;0;0
6398;C;Isaksen;7;0;0;0;0;0;0;0;0;1
6629;C;Dele-Bashiru;6*;0;0;0;0;0;0;0;0;0
7314;C;Taylor K.;6.5;1;0;0;0;0;0;0;0;0
2489;A;Pedro;7;0;0;0;0;1;0;0;0;0
5500;A;Cancellieri;6;0;0;0;0;0;0;0;0;0
6556;A;Noslin;6*;0;0;0;0;0;0;0;0;0
7313;A;Ratkov;6;0;0;0;0;0;0;0;0;0
688;ALL;Sarri;7;0;0;0;0;0;0;0;0;0
Lecce;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2134;P;Falcone;7.5;0;1;0;0;0;0;0;0;0
4502;D;Gallo;6;0;0;0;0;0;0;0;0;0
6632;D;Gaspar K.;6;0;0;0;0;0;0;0;0;0
6989;D;Tiago Gabriel;6;0;0;0;0;0;0;1;0;0
6990;D;Veiga D.;5.5;0;0;0;0;0;0;0;0;0
7240;D;Siebert;5.5;0;0;0;0;0;0;0;0;0
2839;C;Sottil;6;0;0;0;0;0;0;0;0;0
5504;C;Coulibaly L.;6;0;0;0;0;0;0;0;0;0
6394;C;Ramadani;6;0;0;0;0;0;0;1;0;0
6549;C;Pierotti;5;0;0;0;0;0;0;0;0;0
7246;C;Sala A.;6*;0;0;0;0;0;0;0;0;0
7318;C;Gandelman;6;0;0;0;0;0;0;0;0;0
7322;C;Ngom;6*;0;0;0;0;0;0;0;0;0
6001;A;Banda;6;0;0;0;0;0;0;0;0;0
6439;A;Cheddira;5;0;0;0;0;0;0;0;0;0
7001;A;N'Dri;6*;0;0;0;0;0;0;0;0;0
691;ALL;Di Francesco;5.5;0;0;0;0;0;0;0;0;0
Milan;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4312;P;Maignan;6;0;0;0;0;0;0;0;0;0
4401;D;Gabbia;6;0;0;0;0;0;0;0;0;0
4751;D;Tomori;6;0;0;0;0;0;0;0;0;0
5022;D;Pavlovic;6.5;0;0;0;0;0;0;0;0;0
5273;D;Estupinan;6*;0;0;0;0;0;0;0;0;0
5739;D;De Winter;6.5;0;0;0;0;0;0;0;0;0
6496;D;Bartesaghi;6.5;0;0;0;0;0;0;0;0;0
7211;D;Athekame;6.5;0;0;0;0;0;0;0;0;0
2379;C;Rabiot;7.5;1;0;0;0;0;0;0;0;1
2606;C;Modric;6.5;0;0;0;0;0;0;0;0;0
4199;C;Loftus-Cheek;7;1;0;0;0;0;0;0;0;0
4686;C;Fofana Y.;6.5;0;0;0;0;0;0;0;0;0
5453;C;Ricci S.;6;0;0;0;0;0;0;0;0;0
7203;C;Jashari;6;0;0;0;0;0;0;0;0;0
2678;A;Fullkrug;6;0;0;0;0;0;0;0;0;0
4728;A;Nkunku;7;0;0;0;0;1;0;0;0;0
686;ALL;Allegri;7.5;0;0;0;0;0;0;0;0;0
Napoli;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
572;P;Meret;7;0;1;0;0;0;0;0;0;1
256;D;Juan Jesus;6;0;0;0;0;0;0;0;0;0
1852;D;Spinazzola;6;0;0;0;0;0;0;0;0;0
2724;D;Buongiorno;6;0;0;0;0;0;0;1;0;0
2816;D;Di Lorenzo;6;0;0;0;0;0;0;0;0;0
5427;D;Gutierrez;7;1;0;0;0;0;0;0;0;0
5840;D;Olivera;5.5;0;0;0;0;0;0;0;0;0
4287;C;Lobotka;6;0;0;0;0;0;0;0;0;0
4479;C;Elmas;6.5;0;0;0;0;0;0;0;0;0
4777;C;McTominay;6.5;0;0;0;0;0;0;0;0;0
7223;C;Vergara;7;1;0;0;0;0;0;0;0;0
2531;A;Lukaku;6*;0;0;0;0;0;0;0;0;0
6052;A;Hojlund;6;0;0;0;0;0;0;0;0;0
7162;A;Giovane;6*;0;0;0;0;0;0;0;0;0
4416;ALL;Conte;6.5;0;0;0;0;0;0;0;0;0
Parma;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6662;P;Corvi;5.5;0;4;0;0;0;0;0;0;0
5862;D;Valeri;5.5;0;0;0;0;0;0;0;0;0
6663;D;Circati;5.5;0;0;0;0;0;0;1;0;0
6664;D;Delprato;5.5;0;0;0;0;0;0;0;0;0
7235;D;Troilo;5;0;0;0;0;0;0;0;0;0
7255;D;Britschgi;5.5;0;0;0;0;0;0;0;0;0
4349;C;Nicolussi Caviglia;5.5;0;0;0;0;0;0;0;0;0
5290;C;Estevez;6*;0;0;0;0;0;0;0;0;0
6218;C;Oristanio;5;0;0;0;0;0;0;0;0;0
6666;C;Bernabè;5.5;0;0;0;0;0;0;0;0;0
6898;C;Keita M.;6;0;0;0;0;0;0;0;0;0
6984;C;Ondrejka;5;0;0;0;0;0;0;0;0;0
7209;C;Sorensen O.;5.5;0;0;0;0;0;0;0;0;0
7023;A;Pellegrino M.;5;0;0;0;0;0;0;0;0;0
7342;A;Elphege;6*;0;0;0;0;0;0;0;0;0
7065;ALL;Cuesta;5;0;0;0;0;0;0;0;0;0
Pisa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
574;P;Scuffet;6.5;0;3;0;0;0;0;0;0;0
2273;D;Caracciolo A.;5;0;0;0;0;0;1;0;0;0
7139;D;Canestrelli;6;0;0;0;0;0;0;0;0;0
7143;D;Angori;5.5;0;0;0;0;0;0;0;0;0
7325;D;Bozhinov;5;0;0;0;0;0;0;1;0;0
2334;C;Leris;6;0;0;0;0;0;0;0;0;0
5318;C;Tramoni M.;5;0;0;0;0;0;0;1;0;0
5561;C;Stengs;6*;0;0;0;0;0;0;0;0;0
5784;C;Aebischer;7;1;0;0;0;0;0;0;0;0
7146;C;Tourè I.;5;0;0;0;0;0;0;1;0;0
7149;C;Marin M.;5.5;0;0;0;0;0;0;0;0;0
7331;C;Loyola;5.5;0;0;0;0;0;0;0;0;0
5455;A;Moreo;5.5;0;0;0;0;0;0;0;0;0
6836;A;Meister;5.5;0;0;0;0;0;0;0;0;0
7316;A;Durosinmi;6.5;0;0;0;0;0;0;0;0;1
7344;A;Stojilkovic;5.5;0;0;0;0;0;0;0;0;0
698;ALL;Gilardino;5.5;0;0;0;0;0;0;0;0;0
Roma;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5841;P;Svilar;6;0;1;0;0;0;0;0;0;0
2296;D;Mancini;6.5;0;0;0;0;0;0;1;0;0
4317;D;N'Dicka;6;0;0;0;0;0;0;1;0;0
4657;D;Celik;6;0;0;0;0;0;0;0;0;0
4807;D;Hermoso;6;0;0;0;0;0;0;0;0;0
5168;D;Tsimikas;6*;0;0;0;0;0;0;0;0;0
6631;D;Ghilardi;6;0;0;0;0;0;0;0;0;0
7181;D;Wesley;5;0;0;0;0;0;0;0;0;0
530;C;Pellegrini Lo.;5.5;0;0;0;0;0;0;1;0;0
779;C;Cristante;6;0;0;0;0;0;0;0;0;0
6190;C;Pisilli;6*;0;0;0;0;0;0;0;0;0
6271;C;El Aynaoui;6;0;0;0;0;0;0;1;0;0
6980;C;Venturino;5.5;0;0;0;0;0;0;0;0;0
5585;A;Malen;5;0;0;0;0;0;0;0;0;0
5734;A;Soulè;5.5;0;0;0;0;0;0;0;0;0
6981;A;Vaz;6*;0;0;0;0;0;0;0;0;0
684;ALL;Gasperini;5.5;0;0;0;0;0;0;0;0;0
Sassuolo;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4236;P;Muric;5.5;0;1;0;0;0;0;0;0;0
4374;D;Walukiewicz;6;0;0;0;0;0;0;0;0;0
